Coin,TotalTrades,TotalPnL,AveragePnL,MedianPnL,MaximumPnL,MinimumPnL,TotalVolumeUSD,AverageTradeSize,WinRate,UniqueTraders
SEI,229,9952.528648,43.46082379039301,2.02818,5009.58912,-545.896076,1263840.03,5518.952096069869,63.31877729257642,5
APE,662,9635.805416,14.55559730513595,0.0,725.22612,-54.973416,647600.14,978.2479456193354,32.3262839879154,2
ARB,139,9577.498661,68.9028680647482,0.0,8765.5,-4.67999,307044.17,2208.9508633093524,28.776978417266186,8
WIF,273,8860.879867,32.45743541025641,7.444704,1218.4267,-1372.631,578420.21,2118.7553479853477,62.27106227106227,4
GOAT,104,8142.94114,78.29751096153846,9.273399,1681.845686,0.0,376116.52,3616.505,60.57692307692307,4
OP,167,8071.990319,48.33527137125749,0.56416,2038.18836,-9.457136,337770.05,2022.5751497005988,55.688622754491014,3
PENDLE,1053,8067.743674,7.661674904083571,0.054,413.316,-346.515543,484013.49,459.65193732193734,50.142450142450144,3
AI16Z,526,7903.747996,15.026136874524715,0.386304,1408.37316,-541.859955,626556.64,1191.172319391635,54.372623574144484,5
TURBO,58,7652.506112,131.93976055172413,0.10006799999999999,3359.100371,-1.91433,142909.24,2463.9524137931035,51.724137931034484,3
JTO,134,7408.051171,55.28396396268657,0.0,1613.415411,-969.137966,355918.02,2656.104626865672,44.02985074626866,4
GRIFFAIN,552,7290.563754,13.207543032608696,4.2427575,630.765102,-304.172976,580814.59,1052.2003442028986,71.73913043478261,5
FTM,89,6916.166218,77.70973278651685,14.9766,809.943209,-29.215368,464105.23,5214.665505617977,67.41573033707866,3
FTT,1542,6626.767511,4.297514598573281,0.0,409.413295,-37.811712,380966.52,247.06,34.56549935149157,1
RUNE,322,6244.389123,19.392512804347827,1.026305,803.55957,-558.45657,672350.38,2088.044658385093,57.14285714285714,4
RENDER,227,6069.704761,26.73878749339207,0.724166,332.58216,-3.82258,227682.01,1003.0044493392071,52.42290748898678,4
INJ,158,5919.778398,37.466951886075954,1.489193,918.658,-147.07672,347802.64,2201.2825316455696,63.92405063291139,3
ALT,249,5870.702544,23.577118650602408,5.811,841.97814,-240.75191,452509.6,1817.3076305220882,65.06024096385542,4
